  7.00000000000000e+00 -2.23825064383481e+00 -5.55649628531506e-17 9.99999999999983e-01 -3.37101996678073e-04  -3.34923461389222e-04  -2.69268602594844e-03 9.99988858085696e-01
  7.10000000000000e+00 -2.23825033515737e+00 -6.58679630421482e-17 9.99999999999983e-01 -6.77919830872899e-04  -6.75726589135839e-04  -2.85118955390303e-03 9.99988678883841e-01
  7.20000000000000e+00 -2.23824992149327e+00 3.37027992617304e-17 9.99999999999983e-01 -1.02186334299758e-03  -1.01965928912402e-03  -2.94452356065595e-03 9.99988352370573e-01
  7.30000000000000e+00 -2.23824941386507e+00 -3.03974766826613e-17 9.99999999999983e-01 -1.36023749960199e-03  -1.35802654459009e-03  -2.96649765604944e-03 9.99987886076422e-01
  7.40000000000000e+00 -2.23824883343166e+00 -1.65653962250217e-16 9.99999999999983e-01 -1.68399209982242e-03  -1.68177816437151e-03  -2.91254218733731e-03 9.99987301641944e-01
  7.50000000000000e+00 -2.23824821038028e+00 -6.01276488989068e-17 9.99999999999983e-01 -1.98394921784647e-03  -1.98173622537441e-03  -2.77991866727518e-03 9.99986634133145e-01
  7.60000000000000e+00 -2.23824758170839e+00 -1.78424362656351e-16 9.99999999999982e-01 -2.25104617399857e-03  -2.24883804364367e-03  -2.56788860415831e-03 9.99985929830735e-01
  7.70000000000000e+00 -2.23824698801367e+00 -1.73926860551929e-16 9.99999999999982e-01 -2.47658794547901e-03  -2.47438858515508e-03  -2.27783404725212e-03 9.99985242561763e-01
  7.80000000000000e+00 -2.23824646953189e+00 -2.54086339351277e-16 9.99999999999980e-01 -2.65250237705005e-03  -2.65031567652304e-03  -1.91332426795809e-03 9.99984628810743e-01
  7.90000000000000e+00 -2.23824606177025e+00 -3.01174224745958e-16 9.99999999999981e-01 -2.77159116825839e-03  -2.76942099229058e-03  -1.48012430785057e-03 9.99984142006720e-01
  8.00000000000000e+00 -2.23824579116989e+00 -3.23722104902351e-16 9.99999999999981e-01 -2.82776941486010e-03  -2.82561959643769e-03  -9.86142608818300e-04 9.99983826516129e-01
  8.10000000000000e+00 -2.23824567126860e+00 -3.22048005820227e-16 9.99999999999980e-01 -2.81628648100873e-03  -2.81416081463051e-03  -4.41316561327231e-04 9.99983711958985e-01
  8.20000000000000e+00 -2.23824569983445e+00 -5.22141799926292e-16 9.99999999999980e-01 -2.73392118328681e-03  -2.73182341837659e-03  1.42563477486593e-04 9.99983808495922e-01
  8.30000000000000e+00 -2.23824585738066e+00 -5.58157702478713e-16 9.99999999999979e-01 -2.57914467999791e-03  -2.57707851442004e-03  7.52089379464782e-04 9.99984103693815e-01
  8.40000000000000e+00 -2.23824610736531e+00 -7.32148698730386e-16 9.99999999999979e-01 -2.35224507559014e-03  -2.35021414927885e-03  1.37252557342793e-03 9.99984561469096e-01
